,CharacterName,Sentiment
631,Hellions (comics),6.055
632,Hellrazor,
633,Helmut Zemo,5.604003372681265
634,Henrietta Hunter,4.92
635,Henry Peter Gyrich,5.463258232235718
636,Henry Pym,5.57
637,Henry Russo,5.613000000000001
638,Hepzibah (comics),5.548331744518592
639,Hercules (Marvel Comics),5.654516386890418
640,Hermes (Marvel Comics),5.70446043165468
641,Hermod (comics),5.9799999999999995
642,Hex (Marvel Comics),
643,High Evolutionary,5.717038435140663
644,Hijacker (comics),5.462358974358983
645,Hindsight (comics),5.6923028391167225
646,Hiro Takachiho,5.8828455284553005
647,Hiro-Kala,5.579148112294287
648,Hiroim,5.4683535528596305
649,Hit-Monkey,5.564534450651769
650,Hitman (Marvel Comics),5.350955188679246
651,Hobgoblin (comics),5.520256410256399
652,Hogun,5.704742358078614
653,Holden Radcliffe,5.554776785714295
654,Holocaust (Marvel Comics),5.232665289256191
655,Honey Lemon,5.955457570715483
656,Hood (comics),5.294
657,Hope Pym,5.800085714285732
658,Hope Summers (comics),5.785
659,Hornet (comics),5.578930817610066
660,Howard Stark,5.568849721706848
661,Howard the Duck,5.6243243887894065
662,Hrimhari,5.641979865771812
663,Hugh Jones (comics),5.669935400516805
664,Hugin and Munin (Marvel Comics),5.486
665,Hulk 2099,5.536158301158311
666,Hulk,5.629799182720224
667,Hulkling,5.7789944356120815
668,Human Cannonball (Marvel Comics),5.624382871536538
669,Human Fly (comics),5.688492063492069
670,Human Top (David Mitchell),5.9799999999999995
671,Human Torch (android),5.611247532570085
672,Humbug (comics),5.465999999999999
673,Hummingbird (comics),5.480758974358975
674,Humus Sapien,5.777131782945741
675,Huntsman (Cephalus),6.88
676,Hurricane (comics),5.234880785413743
677,Husk (comics),5.540288935870338
678,Hybrid (Jimmy Marks),5.655917266187057
679,Hydro-Man,5.589856028794232
680,Hyperion (comics),5.73446522501463
681,Hypno-Hustler,5.453374558303902
682,Hypnotia,6.03
683,Iceman (Marvel Comics),5.595553678390318
684,Idunn (comics),5.7540000000000004
685,Ikaris,5.703046206503156
686,Immortus,5.557350119904071
687,Impossible Man,5.599722419928798
688,In-Betweener,5.521926829268301
689,Indra (comics),5.58607929515419
690,Inertia (Marvel Comics),5.711893764434185
691,Inferno (Dante Pertuz),5.674540612516648
692,Ink (comics),5.557133956386288
693,Invisible Woman,5.750055820062287
694,Ion (Marvel Comics),
695,Irene Merryweather,5.508314606741574
696,Iron Cross (Marvel Comics),5.602152588555858
697,Iron Fist (comics),5.210000000000001
698,Iron Lad,5.711548117154822
699,Iron Man 2020,5.611219178082214
700,Iron Man,5.543062919462937
701,Iron Monger,5.550210796915171
702,Iron Patriot,5.609380022962122
703,Ironclad (comics),5.748484848484848
704,ISAAC (comics),5.46
705,Isaiah Bradley,5.725835037491493
706,Isbisa,5.522488479262679
707,Ismael Ortega,5.029999999999999
708,It! The Living Colossus,5.603016759776539
709,J. Jonah Jameson,5.496859852476284
710,J.A.R.V.I.S.,5.59523483365949
711,J2 (comics),5.33
712,Jack Flag,5.665007680491556
713,Jack Frost (Marvel Comics),5.6792924528301905
714,Jack Murdock (comics),5.471666666666668
715,Jack of Hearts (Marvel Comics),5.612508741258743
716,Jack O_Lantern (Marvel Comics),5.434540210383431
717,Jack Power (Marvel Comics),5.730425531914899
718,Jackal (Marvel Comics character),5.507731376975159
719,Jackal (Marvel Comics),5.765
